alphadk|Some Australian guy that developed this bot.$Use !report to tell me stuff|yellow|AlphaDK|Player
stackoverflow|Grants lots of useful information to programmers, this bot would not be possible without it.|yellow|StackOverflow|Website
mike|Best streamer NA, Tier 20 Player, King of Team Fae for 2 hours$http://twitch.tv/Nintendude92|red|Nintendude|Player
nintendude|Best streamer NA, Tier 20 Player, King of Team Fae for 2 hours$http://twitch.tv/Nintendude92|red|Nintendude|Player
nintendude92|Best streamer NA, Tier 20 Player, King of Team Fae for 2 hours$http://twitch.tv/Nintendude92|red|Nintendude|Player
king of team fae for 2 hours|Best streamer NA, Tier 20 Player, King of Team Fae for 2 hours$http://twitch.tv/Nintendude92|red|Nintendude|Player
king of team fae for two hours|Best streamer NA, Tier 20 Player, King of Team Fae for 2 hours$http://twitch.tv/Nintendude92|red|Nintendude|Player
damour|Cool Canadian guy, loves databases and hates Python 2|orange|D'Amour|Player
d'amour|Cool Canadian guy, loves databases and hates Python 2|orange|D'Amour|Player
damouryouknow|Cool Canadian guy, loves databases and hates Python 2|orange|D'Amour|Player
feh|That's me! Provides help where needed!|grey|Feh: Messenger Owl|Bot
castle|Should be upgraded as soon as possible!|grey|The Castle|Mechanic
the castle|Should be upgraded as soon as possible!|grey|The Castle|Mechanic
golden axe|A series of beat 'em up games starting in 1989.|yellow|Golden Axe|Video Game
trashy|Known for her famed +10 Frederick$\ ^ w^/|yellow|Trashy|Player
boggy|Gave Berkut a damn spoon.$Thanks for helping fill out some unit info|purple|Boggy|Player
op|op|green|op|op, op: op
3am|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
oh boy|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
https://www.youtube.com/watch?v=c-naa1hxedq |https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
https://www.youtube.com/watch?v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
http://www.youtube.com/watch?v=c-naa1hxedq |https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
http://www.youtube.com/watch?v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
www.youtube.com/watch?v=c-naa1hxedq |https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
www.youtube.com/watch?v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
youtube.com/watch?v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
?v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
v=c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
c-naa1hxedq|https://i.imgur.com/8715D9R.png|yellow|3AM|Player, AM: 3
magryx|Not to be counted out. Is not a frog.|red|MaGryX|Player
monika|OK|purple|Just Monika.|Just Monika.
just monika|OK|purple|Just Monika.|Just Monika.
just monika.|OK|purple|Just Monika.|Just Monika.
haha no ur|Cute girl uwu|orange|HAHA NO UR|Bot
waifu|Cute girl uwu|orange|HAHA NO UR|Bot
josh|Mike's younger brother, good at rhythm games and interrupting streams with Clash Royale|green|Josh|Player
mtn64|Mike's younger brother, good at rhythm games and interrupting streams with Clash Royale|green|Josh|Player
lightninggrey|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
grey|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
traps are gay|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
traps|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
are|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
gay|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
fake fan|Good at nitpicking and being a fake fan, likes pink hair|grey|LightningGrey|Player
yellowdragon101|Tries his best, but he doesn't succeed.$King of sitting.|yellow|yellowdragon101|Player
yellowdragon|Tries his best, but he doesn't succeed.$King of sitting.|yellow|yellowdragon101|Player
yellow|Tries his best, but he doesn't succeed.$King of sitting.|yellow|yellowdragon101|Player
